# E(eV) abs(cm^-1) abs**2
2.707562806767580987e+00 3.925491411559305270e+05 1.540948282222586670e+11
2.721168500696067305e+00 3.965316828521364368e+05 1.572373755055473022e+11
2.734774194624553623e+00 3.991137272763150395e+05 1.592917673003927917e+11
2.748379888553039940e+00 4.037052811277086148e+05 1.629779540104022522e+11
2.761985582481526258e+00 4.084981184113685740e+05 1.668707127456285095e+11
2.775591276410012576e+00 4.140647034405503655e+05 1.714495786353109131e+11
2.789196970338498893e+00 4.191126046464007813e+05 1.756553753734902344e+11
2.802802664266985211e+00 4.237853491446098778e+05 1.795940221496188965e+11
2.816408358195471529e+00 4.292005477945259772e+05 1.842131102271211853e+11
2.830014052123957846e+00 4.340445492004770203e+05 1.883946706906453247e+11
2.843619746052444164e+00 4.391771557653576019e+05 1.928765741461491699e+11
2.857225439980930481e+00 4.444407412607913720e+05 1.975275724924417114e+11
2.870831133909416799e+00 4.490426910227912595e+05 2.016393383609899902e+11
2.884436827837903117e+00 4.532373975390380365e+05 2.054241385279599915e+11
2.898042521766389434e+00 4.559074716732674860e+05 2.078516227275112000e+11
2.911648215694875752e+00 4.568137198876736220e+05 2.086787746776139526e+11
2.925253909623362070e+00 4.587213993358162697e+05 2.104253222086094055e+11
2.938859603551848387e+00 4.624693134402091964e+05 2.138778658738584595e+11
2.952465297480334705e+00 4.669066759648832958e+05 2.180018440605765381e+11
2.966070991408821023e+00 4.728605955514995730e+05 2.235971428253188477e+11
2.979676685337307340e+00 4.817025079366948921e+05 2.320373061525016174e+11
2.993282379265793658e+00 4.920105652844050783e+05 2.420743963514798279e+11
3.006888073194279087e+00 5.012353474706978304e+05 2.512368735540711975e+11
3.020493767122765405e+00 5.085842801579716615e+05 2.586579700238022156e+11
3.034099461051251723e+00 5.170032701268400415e+05 2.672923813218463440e+11
3.047705154979738040e+00 5.238006135778544703e+05 2.743670827845368347e+11
3.061310848908224358e+00 5.278211862935686950e+05 2.785952047003501587e+11
3.074916542836710676e+00 5.322142701016332721e+05 2.832520292998142700e+11
3.088522236765196993e+00 5.354350289933565073e+05 2.866906702731165161e+11
3.102127930693683311e+00 5.382745934592210688e+05 2.897395379636896973e+11
3.115733624622169629e+00 5.418970568704180187e+05 2.936524202448210449e+11
3.129339318550655946e+00 5.458759979572372977e+05 2.979806051458097534e+11
3.142945012479142264e+00 5.491429160137638682e+05 3.015579422080997314e+11
3.156550706407628581e+00 5.518289686053530313e+05 3.045152105920477295e+11
3.170156400336114899e+00 5.532986819074976956e+05 3.061394314005743408e+11
3.183762094264601217e+00 5.546136075093308464e+05 3.075962536345140991e+11
3.197367788193087534e+00 5.577127197181833908e+05 3.110434777354530029e+11
3.210973482121573852e+00 5.617015742603110848e+05 3.155086585265117798e+11
3.224579176050060170e+00 5.655918541467236355e+05 3.198941454771287231e+11
3.238184869978546487e+00 5.688414754161667079e+05 3.235806241536414185e+11
3.251790563907032805e+00 5.736742533765148837e+05 3.291021489871018066e+11
3.265396257835519123e+00 5.758898023025360890e+05 3.316490643960540771e+11
3.279001951764005440e+00 5.790647220261022449e+05 3.353159522951670532e+11
3.292607645692491758e+00 5.859678265490843914e+05 3.433582937506578369e+11
3.306213339620978076e+00 5.906980362178536598e+05 3.489241699916287842e+11
3.319819033549464393e+00 5.941217534627092537e+05 3.529806579376042480e+11
3.333424727477950711e+00 5.974391344498252729e+05 3.569335193721563721e+11
3.347030421406437029e+00 6.004900799809696618e+05 3.605883361555513306e+11
3.360636115334923346e+00 6.029591719520019833e+05 3.635597630410438843e+11
3.374241809263409664e+00 6.041004979479245376e+05 3.649374116209303589e+11
3.387847503191895981e+00 6.042401397514166310e+05 3.651061464868115234e+11
3.401453197120382299e+00 6.052129560014849994e+05 3.662827221120554199e+11
3.415058891048868617e+00 6.060420673197598662e+05 3.672869873612083740e+11
3.428664584977354934e+00 6.067725617341884645e+05 3.681729416734695435e+11
3.442270278905841252e+00 6.085802872468970018e+05 3.703699660255156860e+11
3.455875972834327570e+00 6.117905123209073208e+05 3.742876309658782349e+11
3.469481666762813887e+00 6.131610042220212054e+05 3.759664170985574951e+11
3.483087360691300205e+00 6.130282090889015235e+05 3.758035851387459717e+11
3.496693054619786523e+00 6.135305994394104928e+05 3.764197964484823608e+11
3.510298748548272840e+00 6.144839429494985379e+05 3.775905161427625732e+11
3.523904442476759158e+00 6.160404154629670084e+05 3.795057934837849731e+11
3.537510136405245476e+00 6.181115001195028890e+05 3.820618265799822388e+11
3.551115830333731793e+00 6.213129656553586246e+05 3.860298012914568481e+11
3.564721524262218111e+00 6.259447800784874707e+05 3.918068677075060425e+11
3.578327218190704428e+00 6.312076958388643106e+05 3.984231552862082520e+11
3.591932912119190746e+00 6.363846636398124974e+05 4.049854401159572754e+11
3.605538606047677064e+00 6.418821369771235622e+05 4.120126777703187866e+11
3.619144299976163381e+00 6.474754153363995720e+05 4.192244134650431519e+11
3.632749993904649699e+00 6.528971768583249068e+05 4.262747235495708008e+11
3.646355687833135129e+00 6.580094732174124802e+05 4.329764668438566895e+11
3.659961381761621446e+00 6.622848778073088033e+05 4.386212593722419434e+11
3.673567075690107764e+00 6.669303504984725732e+05 4.447960924160155029e+11
3.687172769618594081e+00 6.715623849608423188e+05 4.509960368942945557e+11
3.700778463547080399e+00 6.761663333896711702e+05 4.572009104096319580e+11
3.714384157475566717e+00 6.821188251487629022e+05 4.652860916223285522e+11
3.727989851404053034e+00 6.887285345729780383e+05 4.743469943350418091e+11
3.741595545332539352e+00 6.951929480646305019e+05 4.832932350387920532e+11
3.755201239261025670e+00 7.009999046310525155e+05 4.914008662927447510e+11
3.768806933189511987e+00 7.058378640934057767e+05 4.982070903879411621e+11
3.782412627117998305e+00 7.111207507224512519e+05 5.056927221080626831e+11
3.796018321046484623e+00 7.167744899913099362e+05 5.137656695023024902e+11
3.809624014974970052e+00 7.214789200409714831e+05 5.205318320634865112e+11
3.823229708903456370e+00 7.278015534589121817e+05 5.296951012172058105e+11
3.836835402831942687e+00 7.374531307435175404e+05 5.438371200434155884e+11
3.850441096760429005e+00 7.479827300749963615e+05 5.594781644904448242e+11
3.864046790688915323e+00 7.577007738870215835e+05 5.741104627489914551e+11
3.877652484617401640e+00 7.664176523502318887e+05 5.873960178340408936e+11
3.891258178545887958e+00 7.738006419393892866e+05 5.987674334658109131e+11
